id,name,facebook_likes
78,Donald Petrie,80
1921,Jorge Blanco,2
634,Stuart Baird,53
1740,Joel Coen,0
54,Robert Lorenz,39
690,Harold Becker,17
117,Scott Stewart,124
1947,Patrick Gilmore,0
2320,Tony Bill,23
2305,Rod Lurie,37
1187,Walter Hill,394
1808,Akiva Goldsman,167
48,Harald Zwart,91
249,Walter Salles,179
560,Iain Softley,34
262,David Koepp,192
673,Uwe Boll,892
151,Pou-Soi Cheang,3
1213,John Dahl,131
2176,Tim Miller,84
1414,Stephen Herek,65
848,Peter MacDonald,10
1146,Anthony Hemingway,143
1832,Sean Anders,51
1373,Mark Neveldine,83
314,John Madden,108
2192,Kevin Bray,10
545,Mike Gabriel,12
1062,Sam Weisman,39
307,Jesse Dylan,58
1364,Wayne Wang,61
2000,Gabriele Muccino,125
1333,Tom Dey,9
1084,Jimmy Hayward,39
2290,John Frankenheimer,287
1381,Paul King,17
420,Akiva Schaffer,82
1556,William Friedkin,607
1671,Kent Alterman,3
1818,Peter Lord,91
2262,Shekhar Kapur,159
2160,Karyn Kusama,45
1785,Ron Maxwell,33
363,Robert Butler,0
2036,Karey Kirkpatrick,11
510,Steve Antin,59
2226,Jim Gillespie,13
199,Francis Ford Coppola,0
97,Analeine Cal y Mayor,4
1506,Richard Lester,44
280,Scott Cooper,108
1799,Robert Rodriguez,0
2199,Curtis Hanson,161
537,Phyllida Lloyd,58
1175,Jay Chandrasekhar,422
1849,Terrence Malick,0
1268,Joel Paul Reisig,431
484,David Dobkin,71
2357,Milos Forman,869
769,Pierre Morel,180
1850,Paul Hunter,13
2079,Steve Oedekerk,176
633,John Whitesell,14
148,George Nolfi,53
1741,Matthew O'Callaghan,5
196,Neil Jordan,277
94,Rawson Marshall Thurber,43
479,Spike Lee,0
2329,Brian Helgeland,241
124,Frank Marshall,155
571,Hideo Nakata,62
1444,Peter Hewitt,12
2161,Joe Roth,148
209,Bennett Miller,152
895,Jaume Collet-Serra,174
2117,Andy Fickman,99
1589,James McTeigue,160
2005,Angela Robinson,23
1567,Gary Fleder,39
1058,Tommy Wirkola,75
378,Adrian Lyne,213
2052,Stephen Gaghan,79
1790,Jorge R. Gutirrez,34
1120,Richard Loncraine,12
2340,Christophe Gans,50
2128,Howard Deutch,41
949,Jon Hurwitz,22
858,Steven Quale,77
388,John Landis,644
1031,Alexander Witt,38
257,Beeban Kidron,17
2178,Carl Franklin,73
1377,Steven Seagal,0
57,Danny Boyle,0
1374,Andrew Bergman,31
2120,Barbet Schroeder,58
2065,Peter Webber,73
800,Andrew Niccol,487
1466,John Carpenter,0
1520,Wes Anderson,0
932,David Cronenberg,0
1323,John Stockwell,134
1590,David Gordon Green,234
820,Jim Sheridan,260
1494,Costa-Gavras,333
299,Patrick Read Johnson,32
36,Richard LaGravenese,98
2195,George Armitage,5
137,Patrick Lussier,71
1898,James Wong,70
200,Richard Curtis,628
1191,Chuck Bowman,42
1072,Olivier Megaton,118
760,Deepa Mehta,375
697,Warren Beatty,631
1304,Penny Marshall,545
132,Ted Kotcheff,270
2297,Andrei Tarkovsky,0
1094,Paul Bolger,0
2267,Stephen Frears,350
470,P.J. Hogan,29
375,Brad Furman,65
698,Terence Young,92
1507,David Zucker,119
590,Denis Villeneuve,777
2081,Thomas Carter,49
223,Roger Michell,50
587,Luis Llosa,49
2198,Melville Shavelson,5
1715,Garth Jennings,37
52,Joel Zwick,38
1629,Russell Mulcahy,85
1339,David R. Ellis,160
606,Peter Howitt,29
834,John A. Davis,8
534,David Lynch,0
2231,Julie Taymor,278
1194,Mathieu Kassovitz,326
2218,John Gray,29
291,John Schultz,13
908,Sean Penn,0
2287,Susan Stroman,38
2090,Simon Wincer,23
343,Billy Bob Thornton,0
407,Danny Pang,15
434,George P. Cosmatos,170
790,Oliver Parker,32
1691,Lawrence Kasanoff,11
2010,Ben Affleck,0
687,Brian Gibson,13
175,Norman Ferguson,3
1630,Michael Cimino,517
1409,Paul McGuigan,118
843,Roger Kumble,16
494,Burr Steers,23
1407,John Hamburg,29
