id,name,facebook_likes
937,Peter Capaldi,17000
2330,Igor Jijikine,65
4031,Ava Acres,213
276,Ben Feldman,1000
158,Paige Turco,533
927,Billy Drago,371
1578,Tika Sumpter,521
3026,Leslie Caron,399
2315,Gedde Watanabe,448
1141,Greta Gerwig,962
1756,Dana Delany,722
2974,Patrick Troughton,139
3749,Gina Holden,346
2876,David O'Hara,736
2930,Paul F. Tompkins,111
1479,Eddie Griffin,489
871,Suraj Sharma,774
743,Oliver James,1000
3442,Alexandra Breckenridge,1000
3323,Emma de Caunes,132
2490,Aaron Staton,702
2556,Park Bench,81
3700,Richard Anderson,377
85,Essence Atkins,713
869,Paul Hogan,442
2408,Cjon Saulsberry,571
3761,Trevor Blumas,89
3385,Taron Egerton,732
601,Milla Jovovich,14000
3752,John Sparkes,7
2017,Scott Mechlowicz,634
3108,Nia Peeples,444
3954,Gillian Jacobs,837
3411,Timothy Bottoms,155
3467,Jorma Taccone,434
3849,Steve Railsback,246
878,Jennifer Hale,918
3656,Malonn Lvana,20
2805,William Morgan Sheppard,702
2026,Channing Tatum,17000
3980,Tom Amandes,151
2696,Madison Davenport,459
3814,Donovan Scott,54
353,Antony Starr,506
2205,Joe Pingue,30
2907,Erica Linz,31
4098,Aidan McArdle,266
3827,Sean Buchanan,234
1580,Benot Magimel,173
2192,Andr Wilms,9
3062,Evgeniy Mironov,15
3436,Dan O'Herlihy,128
921,Leah Remini,909
3888,Diana Ross,295
4019,Ellen Albertini Dow,957
1010,Busy Philipps,1000
3207,Kelly Brook,859
3130,Kenneth Williams,83
2598,Jessica Bowman,81
3754,Keeley Hawes,228
2725,Ian Hart,261
2471,Benot Poelvoorde,86
1725,Landon Liboiron,1000
532,Iben Hjejle,123
3582,Roger Lloyd Pack,539
1535,Simon Yam,155
2838,Kim Thomson,25
3390,Michael Papajohn,241
2534,Charlotte Le Bon,201
2632,Bobby Moynihan,311
4020,Pawel Szajda,104
3161,Neil Diamond,226
344,Sebastian Koch,380
2198,Ben Crompton,257
2217,Joe Spinell,85
3612,Warren Clarke,281
1975,Qi Shu,1000
817,Jill Hennessy,419
634,Kimberly J. Brown,409
4093,Steve-O,362
3268,Nick Krause,727
3148,Zane Holtz,265
118,Cicely Tyson,907
3810,Fernando Rey,165
3466,Phil Collins,455
2905,Skye McCole Bartusiak,392
2394,Joseph Julian Soria,465
3812,David Mann,378
3353,Jamey Sheridan,168
1499,Sarah Roemer,884
3234,Thekla Reuten,191
2813,Harriet Walter,119
3755,Keram Malicki-Snchez,333
264,Lee Marvin,756
2464,Jesper Christensen,100
3167,Jason Beghe,297
1359,James Wolk,938
4026,Thomas Law,55
2616,Damien Garvey,37
552,Luke Bracey,775
1982,Tom Selleck,19000
2353,John Wood,92
4107,Jan Hooks,367
3953,Chi Ling Chiu,62
2363,Robert Miano,216
3362,Carroll Baker,208
1631,Ari Graynor,904
3831,Dequina Moore,41
3622,Dustin Nguyen,220
2275,Vanessa Angel,384
2942,Susie Essman,99
3651,Ricardo Montalban,641
2307,Katherine Waterston,178
2214,Caity Lotz,941
2062,Keanu Reeves,18000
1876,Darren Shahlavi,294
2483,Charlie Saxton,224
2700,Bill Lake,18
2518,Randy Jones,174
1637,Finn Wittrock,769
3861,Guang Li,10
3884,Garrett Clayton,532
3066,Yuqi Zhang,33
1258,Philippe Nahon,56
3384,Laura Spencer,368
2399,George Coulouris,11
2550,Aaron Ashmore,750
3340,Traci Dinwiddie,281
1628,Sammo Kam-Bo Hung,472
426,Nicholas Lea,867
4035,Michael Lieber,36
3468,Maggie Wheeler,282
3021,Michael Spears,839
1097,W. Earl Brown,422
2404,Mary J. Blige,269
3111,Erin O'Brien,634
2681,David Agranov,308
2849,Jenni 'Jwoww' Farley,230
2832,Rynosuke Kamiki,10
1931,Michael Wong,91
3211,Sophie Nlisse,526
3600,Mel Ferrer,134
3293,Kyra Nichols,0
3412,Angelica Lee,39
3681,Ken Davitian,165
2731,Raquel Welch,788
946,Lea Thompson,1000
942,Sean Patrick Thomas,656
3796,Louis Mandylor,312
115,Melinda Clarke,787
2508,David Alan Basche,68
1133,Barry Bostwick,456
1047,Chris Brochu,795
12,Sasha Alexander,980
3287,Roger Ashton-Griffiths,144
1041,Kay Panabaker,720
2746,Susan May Pratt,220
2420,Marie Avgeropoulos,800
2351,Richard Farnsworth,262
1273,Jamie Lee Curtis,2000
2862,Dennis Franz,376
2800,Shelley Long,422
2423,Karen Young,67
3920,Ralph Richardson,115
3350,Kerry Condon,416
2429,Khulan Chuluun,12
2817,Michael Beck,278
2447,Suzie Steen,258
3367,Anna Harr,290
329,Mackenzie Gray,253
2475,Nora von Waldsttten,30
2919,Simn Andreu,35
1402,Joaquim de Almeida,578
3451,John Amplas,177
3077,Brigitte Nielsen,312
3808,Mari Koda,152
2985,Shawn Andrews,67
3896,Elaine Cassidy,203
2177,Carrie Henn,626
3248,Rex Harrison,272
3101,Patrick Gallagher,306
3485,Owain Yeoman,459
1747,Donald Pleasence,742
2076,Mary-Kate Olsen,976
609,Greg Nicotero,1000
4011,Valente Rodriguez,234
3150,Adam Boyer,503
3844,Kevin Clash,436
837,David Niven,490
2405,Elizabeth Blackmore,150
3862,Cl Bennett,122
3393,David Murray,96
2299,Rick Gomez,152
2718,Tamara Tunie,508
2304,Gretchen Palmer,73
2003,James Mason,617
2338,Ron Lester,255
2850,Vincent Walsh,118
458,Maribel Verd,269
3762,Jessika Van,921
270,Danneel Ackles,1000
3940,Alonna Shaw,67
3188,Joe Cornish,115
3310,Don Pardo,410
1358,Alyson Hannigan,3000
1776,Karl Malden,416
2648,Emily Alyn Lind,289
778,Justin Kirk,945
3939,Tanya van Graan,170
2707,Trond Fausa,57
3146,Ryko Hirosue,46
2568,Pei-Pei Cheng,21
2588,Bobby Campo,292
3606,Ji-won Ha,80
3613,Megan Charpentier,340
2132,Georgina Cates,38
2514,Sylvia Syms,48
2317,Tessa Thompson,431
3777,Adam Lamberg,738
3895,Virginia Capers,22
3703,JoAnna Garcia Swisher,983
261,Kevin Rankin,820
3034,Luke Benward,807
2825,Erica Leerhsen,184
321,Rachel True,328
423,Mark Gatiss,567
2264,Hutch Dano,316
1793,Peter Vaughan,310
37,Danny Pino,786
3778,Joey Lawrence,786
2634,Firass Dirani,239
3648,Cinda McCain,646
2544,Akie Kotabe,614
524,George C. Scott,654
2964,Nina Hoss,164
2502,Cam Clarke,173
2416,The Edge,67
2586,Adrian Paul,786
64,Jimmy Fallon,787
3256,Kyla Pratt,417
1167,Michael Raymond-James,788
3856,Anna Madeley,49
1219,Zach Gilford,971
1989,Corbin Bernsen,1000
724,Pamela Reed,324
2651,Kalim Chandler,134
3440,Gustav Frhlich,23
556,Chen Chang,103
3922,Vladimir Garin,13
2452,Petchtai Wongkamlao,45
2294,Gina Bellman,476
2297,Gael Le Cornec,165
2782,Hans Matheson,627
4112,Lucy Gaskell,55
2507,Alex Emanuel,375
3113,Rodrigo De la Serna,57
25,Jeremy Davies,769
2994,Saurabh Shukla,56
1388,Chris Marquette,355
3563,Mike Nawrocki,12
3649,Roger Guenveur Smith,266
2744,Lance Gross,849
2736,Bethany Joy Lenz,855
1920,Kane Hodder,935
736,Jackson Nicoll,925
1411,Terry Pheto,113
2503,Todd Boyce,15
747,Joseph Cotten,469
3086,Ruth Sheen,44
1696,Sara Forestier,74
1044,Mathieu Kassovitz,326
3784,Olaf Lubaszenko,3
3194,Stephen Marcus,230
2970,Marian Dziedziel,2
2459,Bruno Ganz,653
3213,Lola Dueas,114
3971,Paul Brannigan,50
3779,Stephanie Danielson,391
2815,Sean Kingston,69
2221,Rodney Eastman,125
671,Brighton Sharbino,3000
3116,Patrick Wayne,439
384,Chris Brown,997
2339,Sonoya Mizuno,145
2428,Orson Bean,216
4017,Ella Wahlestedt,587
3843,Kazunari Ninomiya,85
181,Jacob Tremblay,681
3473,David Dencik,94
4041,Josie Loren,528
2243,Kathryn Morris,573
2260,Daniel Auteuil,370
3763,Meghan Heffern,153
1443,Ezra Miller,3000
3294,Ian Gomez,155
2361,Luke Treadaway,305
2328,Nikola Djuricko,164
2374,Tara Platt,461
3416,Dean Dawson,81
3682,Louis Herthum,157
2549,Margo Harshman,668
2356,Mary Astor,185
3039,Sheila Hancock,32
3215,Gabriel Damon,320
2163,Bin Won,517
27,Linda Blair,931
1473,Robert Shaw,559
3315,Jason Cottle,17
1145,Sid Haig,1000
3959,Katherine Boecher,188
3603,Kirby Bliss Blanton,329
2421,Jerry Nelson,94
2185,Ashley Ashida Dixon,9
2455,Richard Dysart,122
3156,Kelvin Taylor,939
2679,Mare Winningham,482
44,Erika Christensen,931
3595,Joanna 'JoJo' Levesque,826
1671,Patton Oswalt,786
2504,Martin Semmelrogge,21
1274,Barry Watson,526
438,Curtiss Cook,591
3969,Veronika Dash,223
3430,Aleksa Palladino,255
2248,Kelly Clarkson,281
2314,Sabrina Ferilli,98
3736,Michael Harding,165
3725,Erin Boyes,46
3083,Yuanyuan Gao,32
2765,Meisa Kuroki,33
3966,Kenneth Cranham,111
2840,Michael Dorman,168
2879,Kelly LeBrock,445
3927,Connor Corum,116
3638,Matt Marr,85
2174,Tetsu Watanabe,6
3380,Peter Cushing,1000
2708,Klaus Kinski,396
2958,Selton Mello,68
1056,John Enos III,465
3668,Alicia Keys,551
2442,Gabrielle Carteris,330
2951,Bud Cort,394
2646,Fiona Glascott,55
3706,Sheridan Smith,156
520,Leonardo DiCaprio,29000
3042,Wayne Pygram,163
3713,David Kennedy,35
3692,Lina Esco,79
2527,Deborra-Lee Furness,71
361,John Abraham,1000
2801,Gary Lockwood,117
